"STATE","LG","WARD","POLLING_UNIT_ID","POLLING_UNIT_NAME","REMARK"
"OYO","AFIJIO","ILORA I","001","A.U.D PRY. SCHOOL","EXISTING PU"
"OYO","AFIJIO","ILORA I","002","BODE OPEN SPACE I","EXISTING PU"
"OYO","AFIJIO","ILORA I","003","BODE OPEN SPACE II","EXISTING PU"
"OYO","AFIJIO","ILORA I","004","BODE OPEN SPACE III","EXISTING PU"
"OYO","AFIJIO","ILORA I","005","OLUWO OPEN SPACE","EXISTING PU"
"OYO","AFIJIO","ILORA I","006","ODOFIN OPEN SPACE","EXISTING PU"
"OYO","AFIJIO","ILORA I","007","OJA ISALE OPEN SPACE","EXISTING PU"
"OYO","AFIJIO","ILORA I","008","OLAOSUN OPEN SPACE","EXISTING PU"
"OYO","AFIJIO","ILORA I","009","OPEN SPACE, ONIGBONGBO  I, BESIDE PAPPY MOSQUE","NEW PU"
"OYO","AFIJIO","ILORA I","010","OPEN SPACE, AT AYEFELE","NEW PU"
"OYO","AFIJIO","ILORA I","011","OPEN SPACE AT IFESOWAPO COMM,OPP AFOS FARMS, ILORA","NEW PU"
"OYO","AFIJIO","ILORA I","012","OPEN SPACE ONIGBONGBO II","NEW PU"
"OYO","AFIJIO","ILORA II","001","AKINDELE OPEN SPACE","EXISTING PU"
"OYO","AFIJIO","ILORA II","002","AKINDELE OPEN SPACE","EXISTING PU"
"OYO","AFIJIO","ILORA II","003","ALAGBAA OPEN SPACE","EXISTING PU"
"OYO","AFIJIO","ILORA II","004","BAPTIST GRAMMAR SCHOOL I","EXISTING PU"
"OYO","AFIJIO","ILORA II","005","BAPTIST GRAMMAR SCHOOL II","EXISTING PU"
"OYO","AFIJIO","ILORA II","006","ELEKAARA COMM. BANK O/SPACE","EXISTING PU"
"OYO","AFIJIO","ILORA II","007","ELEKAARA MARKET O/SPACE","EXISTING PU"
"OYO","AFIJIO","ILORA II","008","L.G. DISPENSARY","EXISTING PU"
"OYO","AFIJIO","ILORA II","009","MAFIKUYOMI OPEN SPACE","EXISTING PU"
"OYO","AFIJIO","ILORA II","010","MAFIKUYOMI OPEN SPACE","EXISTING PU"
"OYO","AFIJIO","ILORA II","011","ONIKOOKO OPEN SPACE","EXISTING PU"
"OYO","AFIJIO","ILORA II","012","OBANISOLA OPEN SPACE","EXISTING PU"
"OYO","AFIJIO","ILORA II","013","OJA OKE OPEN SPACE I","EXISTING PU"
"OYO","AFIJIO","ILORA II","014","OJA OKE OPEN SPACE II","EXISTING PU"
"OYO","AFIJIO","ILORA II","015","TOWN HALL","EXISTING PU"
"OYO","AFIJIO","ILORA II","016","OPEN SPACE IJESUN, ARIBISA","NEW PU"
"OYO","AFIJIO","ILORA II","017","OPEN SPACE BESIDE, EVANGELICAL BAPTIST CH,ILORA","NEW PU"
"OYO","AFIJIO","ILORA II","018","OPEN SPACE, OPP IDS JUNCTION, ILORA","NEW PU"
"OYO","AFIJIO","ILORA II","019","OPEN SPACE, GRACE POLY,ILORA","NEW PU"
"OYO","AFIJIO","ILORA II","020","OPEN SPACE, LALA JUNCTION","NEW PU"
"OYO","AFIJIO","ILORA III","001","ARIBOMBO OPEN SPACE","EXISTING PU"
"OYO","AFIJIO","ILORA III","002","ATENTE OPEN SPACE","EXISTING PU"
"OYO","AFIJIO","ILORA III","003","AYETORO OPEN SPACE","EXISTING PU"
"OYO","AFIJIO","ILORA III","004","FARM SETTLEMENT","EXISTING PU"
"OYO","AFIJIO","ILORA III","005","IBUKUN OLU OPEN SPACE","EXISTING PU"
"OYO","AFIJIO","ILORA III","006","ONIFA PRY. SCHOOL","EXISTING PU"
"OYO","AFIJIO","ILORA III","007","ALAWUSA PRY SCHOOL, ILORA","NEW PU"
"OYO","AFIJIO","FIDITI I","001","EBENEZER PRY. SCHOOL, FIDITI","EXISTING PU"
"OYO","AFIJIO","FIDITI I","002","JAAFU OPEN SPACE","EXISTING PU"
"OYO","AFIJIO","FIDITI I","003","METHODIST PRY. SCHOOL","EXISTING PU"
"OYO","AFIJIO","FIDITI I","004","MOTOR PARK OPEN SPACE","EXISTING PU"
"OYO","AFIJIO","FIDITI I","005","OJUDE AYO OPEN SPACE","EXISTING PU"
"OYO","AFIJIO","FIDITI I","006","OJUERU OPEN SPACE","EXISTING PU"
"OYO","AFIJIO","FIDITI I","007","OLEYO OPEN SPACE","EXISTING PU"
"OYO","AFIJIO","FIDITI I","008","POLICE STATION OPEN SPACE","EXISTING PU"
"OYO","AFIJIO","FIDITI I","009","CATHOLIC PRY. SCHOOL","EXISTING PU"
"OYO","AFIJIO","FIDITI I","010","CHRIST ANG. SCHOOL","EXISTING PU"
"OYO","AFIJIO","FIDITI II","001","ABESE OPEN SPACE","EXISTING PU"
"OYO","AFIJIO","FIDITI II","002","AGBAAKIN OPEN SPACE","EXISTING PU"
"OYO","AFIJIO","FIDITI II","003","EGBEJODA MARKET OPEN SPACE","EXISTING PU"
"OYO","AFIJIO","FIDITI II","004","IJAYE OJUTAYE OPEN SPACE","EXISTING PU"
"OYO","AFIJIO","FIDITI II","005","OWODE OPEN SPACE","EXISTING PU"
"OYO","AFIJIO","FIDITI II","006","CUSTOMARY COURT","EXISTING PU"
"OYO","AFIJIO","AWE I","001","ALAGBEDE OPEN SPACE","EXISTING PU"
"OYO","AFIJIO","AWE I","002","ASAALU OPEN SPACE","EXISTING PU"
"OYO","AFIJIO","AWE I","003","ASAALU OPEN SPACE","EXISTING PU"
"OYO","AFIJIO","AWE I","004","GBODOOYA OPEN SPACE","EXISTING PU"
"OYO","AFIJIO","AWE I","005","LALEMI OPEN SPACE","EXISTING PU"
"OYO","AFIJIO","AWE I","006","LAWN TENNIS OPEN SPACE","EXISTING PU"
"OYO","AFIJIO","AWE I","007","LAWN TENNIS OPEN SPACE","EXISTING PU"
"OYO","AFIJIO","AWE I","008","OKE BATA OPEN SPACE","EXISTING PU"
"OYO","AFIJIO","AWE I","009","OKE ODOFIN OPEN SPACE","EXISTING PU"
"OYO","AFIJIO","AWE I","010","OPEN SPACE,ALARAN JUNCTION, AWE","NEW PU"
"OYO","AFIJIO","AWE II","001","AWE HIGH SCHOOL","EXISTING PU"
"OYO","AFIJIO","AWE II","002","BAPTIST PRY. SCHOOL","EXISTING PU"
"OYO","AFIJIO","AWE II","003","IDI ISIN OPEN SPACE","EXISTING PU"
"OYO","AFIJIO","AWE II","004","IDI ORUPA OPEN SPACE","EXISTING PU"
"OYO","AFIJIO","AWE II","005","KIYESENI OPEN SPACE","EXISTING PU"
"OYO","AFIJIO","AWE II","006","OLODE ISALE OPEN SPACE","EXISTING PU"
"OYO","AFIJIO","AWE II","007","OPEN SPACE ADESAKIN LAYOUT, BESIDE TRANSFORMER","NEW PU"
"OYO","AFIJIO","AWE II","008","OPEN SPACE, AMOO FARM SIIEBERER HATCHERY","NEW PU"
"OYO","AFIJIO","AKINMORIN/JOBELE","001","BAALE JOBELE OPEN SPACE","EXISTING PU"
"OYO","AFIJIO","AKINMORIN/JOBELE","002","L.G. DISPENSARY","EXISTING PU"
"OYO","AFIJIO","AKINMORIN/JOBELE","003","ODOFIN OPEN SPACE","EXISTING PU"
"OYO","AFIJIO","AKINMORIN/JOBELE","004","ST. JOHN'S PRY SCHOOL, AKINMORIN","EXISTING PU"
"OYO","AFIJIO","AKINMORIN/JOBELE","005","ST. PETERS SCHOOL, JOBELE","EXISTING PU"
"OYO","AFIJIO","AKINMORIN/JOBELE","006","TOWN HALL, AKINMORIN","EXISTING PU"
"OYO","AFIJIO","AKINMORIN/JOBELE","007","CATHOLIC PRY. SCHOOL, AKINMORIN","EXISTING PU"
"OYO","AFIJIO","AKINMORIN/JOBELE","008","OPEN SPACE, OPP AFIJIO L.G SEC., JOBELE","NEW PU"
"OYO","AFIJIO","AKINMORIN/JOBELE","009","OPEN SPACE, ABIYE SCHEME,OPP TRANSFORMER, JOBELE","NEW PU"
"OYO","AFIJIO","AKINMORIN/JOBELE","010","OPEN SPACE, AHORO BESIDE,ORI ERU, JOBELE","NEW PU"
"OYO","AFIJIO","AKINMORIN/JOBELE","011","OPEN SPACE, YIDI, AKINMORIN","NEW PU"
"OYO","AFIJIO","AKINMORIN/JOBELE","012","OPEN SPACE, IFESOWAPO COMMUNITY, JOBELE","NEW PU"
"OYO","AFIJIO","IWARE","001","AKINOLA VILLAGE O/SPACE","EXISTING PU"
"OYO","AFIJIO","IWARE","002","ADERIBIGBE VILLAGE O/SPACE","EXISTING PU"
"OYO","AFIJIO","IWARE","003","IWARE MARKET OPEN SPACE","EXISTING PU"
"OYO","AFIJIO","IWARE","004","IYANFA / ONSA OPEN SPACE","EXISTING PU"
"OYO","AFIJIO","IWARE","005","L.A. PRY. SCHOOL, IWARE","EXISTING PU"
"OYO","AFIJIO","IMINI","001","ABA JUMO OPEN SPACE","EXISTING PU"
"OYO","AFIJIO","IMINI","002","ABA ANTI OPEN SPACE","EXISTING PU"
"OYO","AFIJIO","IMINI","003","ILU AJE OPEN SPACE","EXISTING PU"
"OYO","AFIJIO","IMINI","004","COURT HALL I","EXISTING PU"
"OYO","AFIJIO","IMINI","005","COURT HALL II","EXISTING PU"
"OYO","AKINYELE","IKEREKU","001","FALEYE VILLAGE","EXISTING PU"
"OYO","AKINYELE","IKEREKU","002","METHODIST PRY. SCHOOL, IKEREKU I","EXISTING PU"
"OYO","AKINYELE","IKEREKU","003","METHODIST PRY. SCHOOL, IKEREKU II","EXISTING PU"
"OYO","AKINYELE","IKEREKU","004","METHODIST PRY. SCHOOL, IKEREKU III","EXISTING PU"
"OYO","AKINYELE","OLANLA/OBODA/LABODE","001","AGBAAGI VILLAGE","EXISTING PU"
"OYO","AKINYELE","OLANLA/OBODA/LABODE","002","ALADE VILLAGE","EXISTING PU"
"OYO","AKINYELE","OLANLA/OBODA/LABODE","003","ALAYIN VILLAGE","EXISTING PU"
"OYO","AKINYELE","OLANLA/OBODA/LABODE","004","BEYIOKU VILLAGE","EXISTING PU"
"OYO","AKINYELE","OLANLA/OBODA/LABODE","005","ELEPO VILLAGE","EXISTING PU"
"OYO","AKINYELE","OLANLA/OBODA/LABODE","006","LABODE VILLAGE","EXISTING PU"
"OYO","AKINYELE","OLANLA/OBODA/LABODE","007","OBODA VILLAGE","EXISTING PU"
"OYO","AKINYELE","OLANLA/OBODA/LABODE","008","OLANLA VILLAGE","EXISTING PU"
"OYO","AKINYELE","OLANLA/OBODA/LABODE","009","OLANLA (IDI OMO)","EXISTING PU"
"OYO","AKINYELE","OLANLA/OBODA/LABODE","010","OLANLA  (OGBONGAN)","EXISTING PU"
"OYO","AKINYELE","OLANLA/OBODA/LABODE","011","OLUNLOSIN VILLAGE","EXISTING PU"
"OYO","AKINYELE","OLANLA/OBODA/LABODE","012","ONIKARAHUN VILLAGE","EXISTING PU"
"OYO","AKINYELE","OLANLA/OBODA/LABODE","013","OSANYINDEYI VILLAGE","EXISTING PU"
"OYO","AKINYELE","OLANLA/OBODA/LABODE","014","ST. JAMES' S PRY. SCHOOL, OGUNJINMI","EXISTING PU"
"OYO","AKINYELE","ARULOGUN/ENIOSA/ARORO","001","AJOBO VILLAGE","EXISTING PU"
"OYO","AKINYELE","ARULOGUN/ENIOSA/ARORO","002","AKINAJO VILLAGE","EXISTING PU"
"OYO","AKINYELE","ARULOGUN/ENIOSA/ARORO","003","ARORO VILLAGE","EXISTING PU"
"OYO","AKINYELE","ARULOGUN/ENIOSA/ARORO","004","ATERE ORITAMERIN VILLAGE","EXISTING PU"
"OYO","AKINYELE","ARULOGUN/ENIOSA/ARORO","005","COURT HALL, ARULOGUN","EXISTING PU"
"OYO","AKINYELE","ARULOGUN/ENIOSA/ARORO","006","DENLOKUN VILLAGE","EXISTING PU"
"OYO","AKINYELE","ARULOGUN/ENIOSA/ARORO","007","IDI IYEYE VILLAGE","EXISTING PU"
"OYO","AKINYELE","ARULOGUN/ENIOSA/ARORO","008","IGBOOLOYIN VILLAGE","EXISTING PU"
"OYO","AKINYELE","ARULOGUN/ENIOSA/ARORO","009","OGUNRANTI VILLAGE","EXISTING PU"
"OYO","AKINYELE","ARULOGUN/ENIOSA/ARORO","010","INU KOKO VILLAGE","NEW PU"
"OYO","AKINYELE","ARULOGUN/ENIOSA/ARORO","011","AKINRIMISA VILLAGE","NEW PU"
"OYO","AKINYELE","ARULOGUN/ENIOSA/ARORO","012","COMMUNITY  PRY. SCH. ALAWODE","NEW PU"
"OYO","AKINYELE","ARULOGUN/ENIOSA/ARORO","013","ITESIWAJU COMMUNITY PRIMARY SCHOOL, YEOSA","NEW PU"
"OYO","AKINYELE","ARULOGUN/ENIOSA/ARORO","014","HEALTH CENTER ARORO","NEW PU"
"OYO","AKINYELE","ARULOGUN/ENIOSA/ARORO","015","ARORO GRAMMAR SCH","NEW PU"
"OYO","AKINYELE","ARULOGUN/ENIOSA/ARORO","016","C.A.C PRYMARY SCH. OLUFANA","NEW PU"
"OYO","AKINYELE","ARULOGUN/ENIOSA/ARORO","017","ADJACENT C&S CHURCH, ATAPA","NEW PU"
"OYO","AKINYELE","OLODE/AMOSUN/ONIDUNDU","001","ABATAN VILLAGE","EXISTING PU"
"OYO","AKINYELE","OLODE/AMOSUN/ONIDUNDU","002","AMOSUN VILLAGE","EXISTING PU"
"OYO","AKINYELE","OLODE/AMOSUN/ONIDUNDU","003","ILEBA VILLAGE","EXISTING PU"
"OYO","AKINYELE","OLODE/AMOSUN/ONIDUNDU","004","OLODE VILLAGE","EXISTING PU"
"OYO","AKINYELE","OLODE/AMOSUN/ONIDUNDU","005","ST. LUKE'S SCHOOL, ONIDUNDU","EXISTING PU"
"OYO","AKINYELE","OLODE/AMOSUN/ONIDUNDU","006","TEGIRI VILLAGE","EXISTING PU"
"OYO","AKINYELE","OLODE/AMOSUN/ONIDUNDU","007","BESIDE COOOPERATIVE BUILDING, OLORUNTEDO","NEW PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","001","ANG. PRY. SCHOOL, AKINGBILE I","EXISTING PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","002","ANG. PRY. SCHOOL - AKINGBILE II","EXISTING PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","003","ALASE VILLAGE","EXISTING PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","004","APAPA VILLAGE","EXISTING PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","005","APONMODE, VILLAGE","EXISTING PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","006","BEHIND I.I.T.A. POLICE STATION","EXISTING PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","007","COURT HALL, MONIYA I","EXISTING PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","008","COURT HALL, MONIYA II","EXISTING PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","009","DABIRI VILLAGE","EXISTING PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","010","IDI OSE I","EXISTING PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","011","IDI OSE II","EXISTING PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","012","ISLAMIC PRY. SCHOOL, MONIYA I","EXISTING PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","013","ISLAMIC PRY. SCHOOL, MONIYA II","EXISTING PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","014","ISLAMIC PRY. SCHOOL - MONIYA III","EXISTING PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","015","ISLAMIC PRY. SCHOOL, MONIYA (SAW-MILL)","EXISTING PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","016","OBODA (F.R.S.C.)","EXISTING PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","017","OJO-EMO VILLAGE","EXISTING PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","018","OMILABU VILLAGE","EXISTING PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","019","OPEN SPACE, ARAROMI","NEW PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","020","AROUND ABOLADE SHOPPING PLAZA, AGEMAWO","NEW PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","021","OPEN SPACE OLUANA NEAR TRANSFORMER","NEW PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","022","COMMUNITY PRIMARY SCHOOL, LAGBE","NEW PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","023","OPEN SPACE, AKINGBILE","NEW PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","024","OLOMOWEWE BUS STOP OPPOSITE DAMOS OIL","NEW PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","025","OPEN SPACE FIJABI POWER LINE","NEW PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","026","LAGBE, DOWN BLOW JUNCTION","NEW PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","027","OPEN SPACE, ISAGUNNA","NEW PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","028","AYEROKUN MONIYA EXPRESS BY KINGS OIL","NEW PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","029","OPPOSITE CENTRAL MOSQUE ABIOLA","NEW PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","030","OPEN SPACE ABEDO, YIDI","NEW PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","031","TOSE COMMUNITY PRY SCHOOL","NEW PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","032","OPEN SPACE OLUWAKEMI, ZONE 1","NEW PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","033","OPEN SPACE, OLUWAKEMI, ZONE 6","NEW PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","034","OPEN SPACE AT RAMAT COMPLEX","NEW PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","035","OPEN SPACE BESIDE APAPA ESTATE HOUSING SECURITY POST","NEW PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","036","LABI COMMUNITY HALL","NEW PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","037","OPEN SPACE, BAGADAJE","NEW PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","038","SPACE AROUND BUMAD OIL BANK B/STOP","NEW PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","039","OPEN SPACE ONIKORO JUNCTION","NEW PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","040","COMMUNITY HALL, MAKU","NEW PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","041","OPEN SPACE SAGBE JUNCTION","NEW PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","042","OPEN SPACE BESIDE ZION BAPTIST CHURCH EYINOKE","NEW PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","043","SAGBE COMMUNITY PRIMARY SCHOOL","NEW PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","044","OPEN SPACE, POWERLINE EXPRESS","NEW PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","045","OPEN SPACE OJA-AGBE CLOSE TO CAR WASH","NEW PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","046","OPEN SPACE, PAYILOKUN","NEW PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","047","OPEN SPACE AT IYANA BALOGUN","NEW PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","048","DAGBOLU COMMUNITY HALL","NEW PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","049","OPEN SPACE OLANIYI AYOBAMI OGOGO","NEW PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","050","OPEN SPACE U.I DISTANCE LEARNING OLODE","NEW PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","051","OLODE JUNCTION EXPRESS","NEW PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","052","ALAJA COMMUNITY HALL","NEW PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","053","OPEN SPACE AT SERIKI AKINTOLA VILLAGE","NEW PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","054","IYANA COMMUNITY SECONDARY SCHOOL","NEW PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","055","OPEN SPACE, ABIOLA ODUNAYO","NEW PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","056","FIELD AT ALADANLA BARRACK ROAD","NEW PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","057","OPEN SPACE, ABANISE","NEW PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","058","APONMODE SECONDARY SCHOOL","NEW PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","059","OPEN SPACE BARRACK MONIYA","NEW PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","060","OPEN SPACE, KAJOREPO","NEW PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","061","OPEN SPACE IFEOLUWA BARRACK ROAD","NEW PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","062","OPEN SPACE OPPOSITE CHIRST APOSTOLIC CHURCH BARRACK","NEW PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","063","ELEBU COMMUNITY PRY SCH","NEW PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","064","OPEN SPACE ELEBU VILLAGE","NEW PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","065","OPEN SPACE ASANMAJANA","NEW PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","066","OPEN SPACE ONIKEINKEIN","NEW PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","067","OPEN SPACE ODO - OBA BESIDE CHRIST VICTORY COLLEGE","NEW PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","068","OPEN SPACE ARIKEUYO TIPPER GARRAGE","NEW PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","069","OPEN SPACE, ODOGBO","NEW PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","070","OPEN SPACE TEMIDIRE","NEW PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","071","BESIDE TRANSFORMER FATOKUN","NEW PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","072","OPEN SPACE BISEDE GREAT SUCCESS OKE OLA","NEW PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","073","IDI AMU COMMUNITY HALL","NEW PU"
"OYO","AKINYELE","OJO-EMO/MONIYA","074","OPEN SPACE CLOSE TO ASEWEREJAYE BLOCK INDUSTRY","NEW PU"
"OYO","AKINYELE","AKINYELE/ISABIYI/IREPODUN","001","AJOBO VILLAGE","EXISTING PU"
"OYO","AKINYELE","AKINYELE/ISABIYI/IREPODUN","002","ALAGBAA VILLAGE","EXISTING PU"
"OYO","AKINYELE","AKINYELE/ISABIYI/IREPODUN","003","ANG. SCHOOL, OTUN-AGBA-AKIN","EXISTING PU"
"OYO","AKINYELE","AKINYELE/ISABIYI/IREPODUN","004","BABALAWO VILLAGE","EXISTING PU"
"OYO","AKINYELE","AKINYELE/ISABIYI/IREPODUN","005","C.A.C. PRY. SCHOOL, AKINYELE","EXISTING PU"
"OYO","AKINYELE","AKINYELE/ISABIYI/IREPODUN","006","IREPODUN VILLAGE","EXISTING PU"
"OYO","AKINYELE","AKINYELE/ISABIYI/IREPODUN","007","ISABIYI VILLAGE","EXISTING PU"
"OYO","AKINYELE","AKINYELE/ISABIYI/IREPODUN","008","OGUNTILEWA VILLAGE","EXISTING PU"
"OYO","AKINYELE","AKINYELE/ISABIYI/IREPODUN","009","SOLALU VILLAGE","EXISTING PU"
"OYO","AKINYELE","AKINYELE/ISABIYI/IREPODUN","010","OPEN SPACE AJEROSUN ESTATE, MOGAJI VILLAGE, MONIYA, IBADAN","NEW PU"
"OYO","AKINYELE","AKINYELE/ISABIYI/IREPODUN","011","OPEN SPACE FOROBI VILLAGE","NEW PU"
"OYO","AKINYELE","AKINYELE/ISABIYI/IREPODUN","012","ORIOKE, OLORUNKOLE ROAD, SERIKI VILLAGE","NEW PU"
"OYO","AKINYELE","AKINYELE/ISABIYI/IREPODUN","013","ANG. GRAMMAR SCHOOL, AGBIRIGIDI","NEW PU"
"OYO","AKINYELE","AKINYELE/ISABIYI/IREPODUN","014","COMMUNITY PRY, SCHOOL, OLOJE","NEW PU"
"OYO","AKINYELE","AKINYELE/ISABIYI/IREPODUN","015","OPEN SPACE LAPITE VILLAGE","NEW PU"
"OYO","AKINYELE","IWOKOTO/TALONTAN/IDI-ORO","001","AYUN/COMM. GRAMMAR SCHOOL, APAPA ODAN/SOKINLOJU","EXISTING PU"
"OYO","AKINYELE","IWOKOTO/TALONTAN/IDI-ORO","002","BABAMOGBA VILLAGE","EXISTING PU"
"OYO","AKINYELE","IWOKOTO/TALONTAN/IDI-ORO","003","BANTU VILLAGE","EXISTING PU"
"OYO","AKINYELE","IWOKOTO/TALONTAN/IDI-ORO","004","COMM. PRY. SCHOOL, APAPA ODAN","EXISTING PU"
"OYO","AKINYELE","IWOKOTO/TALONTAN/IDI-ORO","005","FASOLA VILLAGE","EXISTING PU"
"OYO","AKINYELE","IWOKOTO/TALONTAN/IDI-ORO","006","IDI-ORO VILLAGE","EXISTING PU"
"OYO","AKINYELE","IWOKOTO/TALONTAN/IDI-ORO","007","ST. JOHN'S SCHOOL, TALONTAN","EXISTING PU"
"OYO","AKINYELE","IWOKOTO/TALONTAN/IDI-ORO","008","OPEN SPACE IYA-OFA VILLAGE","NEW PU"
"OYO","AKINYELE","IWOKOTO/TALONTAN/IDI-ORO","009","IWOTOKO COMMUNITY GRAMMAR SCHOOL, OLUBO VILLAGE","NEW PU"
"OYO","AKINYELE","OJOO/AJIBODE/LANIBA","001","ADEOSUN/ST. MATT. SCHOOL, OKE-ONA","EXISTING PU"
"OYO","AKINYELE","OJOO/AJIBODE/LANIBA","002","ADULOJU","EXISTING PU"
"OYO","AKINYELE","OJOO/AJIBODE/LANIBA","003","AJIBODE GRAMMAR SCHOOL","EXISTING PU"
"OYO","AKINYELE","OJOO/AJIBODE/LANIBA","004","AKOBO OJURIN AREA","EXISTING PU"
"OYO","AKINYELE","OJOO/AJIBODE/LANIBA","005","ARULOGUN ROAD/OJOO MARKET","EXISTING PU"
"OYO","AKINYELE","OJOO/AJIBODE/LANIBA","006","COMM. PRY SCHOOL KAJOREPO","EXISTING PU"
"OYO","AKINYELE","OJOO/AJIBODE/LANIBA","007","COMM. PRY. SCHOOL, SASA I","EXISTING PU"
"OYO","AKINYELE","OJOO/AJIBODE/LANIBA","008","COMM. PRY SCHOOL, SASA II","EXISTING PU"
"OYO","AKINYELE","OJOO/AJIBODE/LANIBA","009","ELEMU BUS STOP/OPP. OLD BANK I","EXISTING PU"
"OYO","AKINYELE","OJOO/AJIBODE/LANIBA","010","ELEMU BUS STOP/OPP. OLD BANK II","EXISTING PU"
"OYO","AKINYELE","OJOO/AJIBODE/LANIBA","011","H.L.A. SCHOOL, OJOO I","EXISTING PU"
"OYO","AKINYELE","OJOO/AJIBODE/LANIBA","012","H.L.A. SCHOOL, OJOO II","EXISTING PU"
"OYO","AKINYELE","OJOO/AJIBODE/LANIBA","013","IDI ORI, SASA I","EXISTING PU"
"OYO","AKINYELE","OJOO/AJIBODE/LANIBA","014","IDI ORI, SASA II","EXISTING PU"
"OYO","AKINYELE","OJOO/AJIBODE/LANIBA","015","IYANA SASA I","EXISTING PU"
"OYO","AKINYELE","OJOO/AJIBODE/LANIBA","016","IYANA SASA II","EXISTING PU"
"OYO","AKINYELE","OJOO/AJIBODE/LANIBA","017","JAKAN","EXISTING PU"
"OYO","AKINYELE","OJOO/AJIBODE/LANIBA","018","KANKUN COURT HALL","EXISTING PU"
"OYO","AKINYELE","OJOO/AJIBODE/LANIBA","019","KOKA/OLOMO","EXISTING PU"
"OYO","AKINYELE","OJOO/AJIBODE/LANIBA","020","LAGOS GARAGE, OJOO","EXISTING PU"
"OYO","AKINYELE","OJOO/AJIBODE/LANIBA","021","LAGOS GARAGE TRAILER PARK","EXISTING PU"
