"STATE","LG","WARD","POLLING_UNIT_ID","POLLING_UNIT_NAME","REMARK"
"ANAMBRA","AGUATA","ACHINA   I","001","ST. CHARLE'S SCHOOL","EXISTING PU"
"ANAMBRA","AGUATA","ACHINA   I","002","EZIAMA SQUARE","EXISTING PU"
"ANAMBRA","AGUATA","ACHINA   I","003","UGWUACHI SQUARE","EXISTING PU"
"ANAMBRA","AGUATA","ACHINA   I","004","ST. PETER'S COLLEGE","EXISTING PU"
"ANAMBRA","AGUATA","ACHINA   I","005","AMANKWU SQUARE","EXISTING PU"
"ANAMBRA","AGUATA","ACHINA   I","006","COOPERATIVE HALL","EXISTING PU"
"ANAMBRA","AGUATA","ACHINA   I","007","GBIRIGBO HALL","EXISTING PU"
"ANAMBRA","AGUATA","ACHINA   I","008","OCHIEOBU SQUARE","EXISTING PU"
"ANAMBRA","AGUATA","ACHINA   I","009","OYE MOTOR PARK  I","EXISTING PU"
"ANAMBRA","AGUATA","ACHINA   I","010","OYE MOTOR PARK  II","EXISTING PU"
"ANAMBRA","AGUATA","ACHINA   I","011","OYE MOTOR PARK  III","EXISTING PU"
"ANAMBRA","AGUATA","ACHINA   I","012","COUNCIL HALL","EXISTING PU"
"ANAMBRA","AGUATA","ACHINA   I","013","OBINIKPA PRY. SCHOOL, UMEUZEIYI I","EXISTING PU"
"ANAMBRA","AGUATA","ACHINA   I","014","OBINIKPA PRY. SCHOOL, UMEUZEIYI  II","EXISTING PU"
"ANAMBRA","AGUATA","ACHINA  II","001","PROGRESSIVE SCHOOL I","EXISTING PU"
"ANAMBRA","AGUATA","ACHINA  II","002","UMUELEKE HALL I","EXISTING PU"
"ANAMBRA","AGUATA","ACHINA  II","003","GIRLS SECONDARY SCHOOL I","EXISTING PU"
"ANAMBRA","AGUATA","ACHINA  II","004","GIRLS SECONDARY SCHOOL  II","EXISTING PU"
"ANAMBRA","AGUATA","ACHINA  II","005","AMANWAFOR SQUARE I","EXISTING PU"
"ANAMBRA","AGUATA","ACHINA  II","006","AMANWAFOR SQUARE  II","EXISTING PU"
"ANAMBRA","AGUATA","ACHINA  II","007","AMANWAFOR/ABUDUM SQUARE","EXISTING PU"
"ANAMBRA","AGUATA","ACHINA  II","008","AMANWAFOR SQUARE III","EXISTING PU"
"ANAMBRA","AGUATA","ACHINA  II","009","OBINIKPA PRY. SCHOOL  I","EXISTING PU"
"ANAMBRA","AGUATA","ACHINA  II","010","OBINIKPA PRY. SCHOOL II","EXISTING PU"
"ANAMBRA","AGUATA","ACHINA  II","011","UGWUOCHA SQUARE","EXISTING PU"
"ANAMBRA","AGUATA","ACHINA  II","012","UMUELEKE HALL II","EXISTING PU"
"ANAMBRA","AGUATA","ACHINA  II","013","UDARA-EKE SQUARE","EXISTING PU"
"ANAMBRA","AGUATA","ACHINA  II","014","PROGRESSIVE SCH. II","EXISTING PU"
"ANAMBRA","AGUATA","AGULUEZE CHUKWU","001","CENTRAL SCHOOL I","EXISTING PU"
"ANAMBRA","AGUATA","AGULUEZE CHUKWU","002","CENTRAL SCHOOL II","EXISTING PU"
"ANAMBRA","AGUATA","AGULUEZE CHUKWU","003","TOWN HALL I","EXISTING PU"
"ANAMBRA","AGUATA","AGULUEZE CHUKWU","004","TOWN HALL II","EXISTING PU"
"ANAMBRA","AGUATA","AGULUEZE CHUKWU","005","OBIOFIA PRY. SCHOOL","EXISTING PU"
"ANAMBRA","AGUATA","AGULUEZE CHUKWU","006","PRY. SCHOOL, AGULUEZE CHUKWU I","EXISTING PU"
"ANAMBRA","AGUATA","AGULUEZE CHUKWU","007","PRY. SCHOOL, AGULUEZE CHUKWU  II","EXISTING PU"
"ANAMBRA","AGUATA","AGULUEZE CHUKWU","008","LONDON SCIENCE I","EXISTING PU"
"ANAMBRA","AGUATA","AGULUEZE CHUKWU","009","LONDON SCIENCE II","EXISTING PU"
"ANAMBRA","AGUATA","AGULUEZE CHUKWU","010","LONDON SCIENCE III","EXISTING PU"
"ANAMBRA","AGUATA","AGULUEZE CHUKWU","011","NKWO MARKET I","EXISTING PU"
"ANAMBRA","AGUATA","AGULUEZE CHUKWU","012","NKWO MARKET II","EXISTING PU"
"ANAMBRA","AGUATA","AGULUEZE CHUKWU","013","EZIAGU VILLAGE HALL","NEW PU"
"ANAMBRA","AGUATA","AGULUEZE CHUKWU","014","COMMUNITY PRIMARY SCHOOL UMUCHUKWU","NEW PU"
"ANAMBRA","AGUATA","AGULUEZE CHUKWU","015","COMMUNITY SECONDARY SCHOOL OZALLA","NEW PU"
"ANAMBRA","AGUATA","AKPO","001","AKPO TOWN HALL I","EXISTING PU"
"ANAMBRA","AGUATA","AKPO","002","AKPO TOWN HALL II","EXISTING PU"
"ANAMBRA","AGUATA","AKPO","003","UDOKA SCHOOL","EXISTING PU"
"ANAMBRA","AGUATA","AKPO","004","AGBAELU VILLAGE HALL I","EXISTING PU"
"ANAMBRA","AGUATA","AKPO","005","UHUALA HALL I","EXISTING PU"
"ANAMBRA","AGUATA","AKPO","006","UMUEZE VILLAGE SQUARE","EXISTING PU"
"ANAMBRA","AGUATA","AKPO","007","AMAIFE HALL I","EXISTING PU"
"ANAMBRA","AGUATA","AKPO","008","UDO VILLAGE HALL","EXISTING PU"
"ANAMBRA","AGUATA","AKPO","009","EGBUIKE PRY. SCHOOL","EXISTING PU"
"ANAMBRA","AGUATA","AKPO","010","AGBAELU VILLAGE HALL II","EXISTING PU"
"ANAMBRA","AGUATA","AKPO","011","UHUALA HALL II","EXISTING PU"
"ANAMBRA","AGUATA","AKPO","012","AMAIFE HALL II","EXISTING PU"
"ANAMBRA","AGUATA","AKPO","013","UBE BLOCK UDOKA PRIMARY SCHOOL","NEW PU"
"ANAMBRA","AGUATA","AMESI","001","CENTRAL SCHOOL I","EXISTING PU"
"ANAMBRA","AGUATA","AMESI","002","CENTRAL SCHOOL II","EXISTING PU"
"ANAMBRA","AGUATA","AMESI","003","CENTRAL SCHOOL III","EXISTING PU"
"ANAMBRA","AGUATA","AMESI","004","CENTRAL SCHOOL IV","EXISTING PU"
"ANAMBRA","AGUATA","AMESI","005","CENTRAL SCHOOL V","EXISTING PU"
"ANAMBRA","AGUATA","AMESI","006","COMMUNITY PRY. SCHOOL I","EXISTING PU"
"ANAMBRA","AGUATA","AMESI","007","COMMUNITY PRY. SCHOOL II","EXISTING PU"
"ANAMBRA","AGUATA","AMESI","008","COMMUNITY PRY. SCHOOL III","EXISTING PU"
"ANAMBRA","AGUATA","AMESI","009","COMMUNITY PRY. SCHOOL IV","EXISTING PU"
"ANAMBRA","AGUATA","AMESI","010","SOCIAL CENTRE I","EXISTING PU"
"ANAMBRA","AGUATA","AMESI","011","SOCIAL CENTRE II","EXISTING PU"
"ANAMBRA","AGUATA","AMESI","012","SOCIAL CENTRE III","EXISTING PU"
"ANAMBRA","AGUATA","AMESI","013","SOCIAL CENTRE IV","EXISTING PU"
"ANAMBRA","AGUATA","AMESI","014","UDURA-EKO SQUARE","EXISTING PU"
"ANAMBRA","AGUATA","AMESI","015","SOCIAL CENTRE V","EXISTING PU"
"ANAMBRA","AGUATA","EKWULOBIA  I","001","OFOSIE  HALL I","EXISTING PU"
"ANAMBRA","AGUATA","EKWULOBIA  I","002","OFOSIE HALL II","EXISTING PU"
"ANAMBRA","AGUATA","EKWULOBIA  I","003","CENTRAL SCHOOL","EXISTING PU"
"ANAMBRA","AGUATA","EKWULOBIA  I","004","UMUEZE NWAFOR PRY. SCHOOL","EXISTING PU"
"ANAMBRA","AGUATA","EKWULOBIA  I","005","AMAUDO UMUOWELE","EXISTING PU"
"ANAMBRA","AGUATA","EKWULOBIA  I","006","HAVANA HUT (OPEN SPACE)","EXISTING PU"
"ANAMBRA","AGUATA","EKWULOBIA  I","007","CHIGOZIE SOLID BAR (OPEN SPACE)","EXISTING PU"
"ANAMBRA","AGUATA","EKWULOBIA  I","008","UMUEZENNANI HALL I","EXISTING PU"
"ANAMBRA","AGUATA","EKWULOBIA  I","009","UMUEZENNANI HALL II","EXISTING PU"
"ANAMBRA","AGUATA","EKWULOBIA  I","010","EZEZUEGBU SQUARE (OPEN SPACE)","EXISTING PU"
"ANAMBRA","AGUATA","EKWULOBIA  I","011","EZIAGULU VILLAGE HALL II","EXISTING PU"
"ANAMBRA","AGUATA","EKWULOBIA  I","012","EZIAGULU WOMEN HALL","EXISTING PU"
"ANAMBRA","AGUATA","EKWULOBIA  I","013","IHUOKPALA SQUARE II","EXISTING PU"
"ANAMBRA","AGUATA","EKWULOBIA  I","014","OBI-NKWO SQUARE I","EXISTING PU"
"ANAMBRA","AGUATA","EKWULOBIA  I","015","OBI-NKWO SQUARE II","EXISTING PU"
"ANAMBRA","AGUATA","EKWULOBIA  I","016","AMAUDO SQUARE I","EXISTING PU"
"ANAMBRA","AGUATA","EKWULOBIA  I","017","AMAUDO SQUARE II","EXISTING PU"
"ANAMBRA","AGUATA","EKWULOBIA  I","018","FIRST HILL SECONDARY SCHOOL","NEW PU"
"ANAMBRA","AGUATA","EKWULOBIA  I","019","UMUCHIANA VILLAGE HALL","NEW PU"
"ANAMBRA","AGUATA","EKWULOBIA  I","020","OFOSIE HALL III","NEW PU"
"ANAMBRA","AGUATA","EKWULOBIA  I","021","CENTRAL SCHOOL BLOCK B","NEW PU"
"ANAMBRA","AGUATA","EKWULOBIA  I","022","COURT PREMISES (LGA)","NEW PU"
"ANAMBRA","AGUATA","EKWULOBIA  I","023","CENTRAL SCHOOL BLOCK D","NEW PU"
"ANAMBRA","AGUATA","EKWULOBIA  I","024","OMEKE UMUCHI HALL","NEW PU"
"ANAMBRA","AGUATA","EKWULOBIA  I","025","AMAUDO UMUOWELLE II","NEW PU"
"ANAMBRA","AGUATA","EKWULOBIA  I","026","EKWULOBIA URBAN MASS TRANSIT PARK (OPEN SPACE)","NEW PU"
"ANAMBRA","AGUATA","EKWULOBIA  I","027","UMUEZEHANOYI HALL","NEW PU"
"ANAMBRA","AGUATA","EKWULOBIA  I","028","MR BIGG'S EATERY (OPEN SPACE)","NEW PU"
"ANAMBRA","AGUATA","EKWULOBIA  I","029","OKPO VILLAGE HALL I","NEW PU"
"ANAMBRA","AGUATA","EKWULOBIA  I","030","OKPO VILLAGE HALL III","NEW PU"
"ANAMBRA","AGUATA","EKWULOBIA  I","031","OKPO VILLAGE HALL II","NEW PU"
"ANAMBRA","AGUATA","EKWULOBIA  I","032","PARAGON PHARMACY (OPEN SPACE)","NEW PU"
"ANAMBRA","AGUATA","EKWULOBIA  I","033","ORIE-IHUOKPALA SQUARE(OPEN SPACE)","NEW PU"
"ANAMBRA","AGUATA","EKWULOBIA  II","001","EZEKANNAGHA  SQUARE I","EXISTING PU"
"ANAMBRA","AGUATA","EKWULOBIA  II","002","EZEKANNAGHA SQUARE II","EXISTING PU"
"ANAMBRA","AGUATA","EKWULOBIA  II","003","AGBA VILLAGE HALL","EXISTING PU"
"ANAMBRA","AGUATA","EKWULOBIA  II","004","COMMUNITY PRY. SCHOOL","EXISTING PU"
"ANAMBRA","AGUATA","EKWULOBIA  II","005","EZIAGULU PRY. SCHOOL","EXISTING PU"
"ANAMBRA","AGUATA","EKWULOBIA  II","006","NWANEBO PRY. SCHOOL I","EXISTING PU"
"ANAMBRA","AGUATA","EKWULOBIA  II","007","NWANEBO PRY. SCHOOL II","EXISTING PU"
"ANAMBRA","AGUATA","EKWULOBIA  II","008","KINDER ULA","EXISTING PU"
"ANAMBRA","AGUATA","EKWULOBIA  II","009","G.S.S. EKWULOBIA","EXISTING PU"
"ANAMBRA","AGUATA","EKWULOBIA  II","010","EZIAGULU VILLAGE HALL II","EXISTING PU"
"ANAMBRA","AGUATA","EKWULOBIA  II","011","EZIAGULU WOMEN'S HALL","EXISTING PU"
"ANAMBRA","AGUATA","EKWULOBIA  II","012","EZIAGULU HALL","EXISTING PU"
"ANAMBRA","AGUATA","EKWULOBIA  II","013","EKEMEZIE SQUARE","EXISTING PU"
"ANAMBRA","AGUATA","EKWULOBIA  II","014","AGBA PRY. SCHOOL","EXISTING PU"
"ANAMBRA","AGUATA","EKWULOBIA  II","015","DELIGHT INT. SCHOOL","EXISTING PU"
"ANAMBRA","AGUATA","EKWULOBIA  II","016","UMUOMA HALL","EXISTING PU"
"ANAMBRA","AGUATA","EKWULOBIA  II","017","HEALTH CENTRE","EXISTING PU"
"ANAMBRA","AGUATA","EKWULOBIA  II","018","AGUATA HIGH SCHOOL","EXISTING PU"
"ANAMBRA","AGUATA","EKWULOBIA  II","019","EZEOKOLI SQUARE","EXISTING PU"
"ANAMBRA","AGUATA","EKWULOBIA  II","020","EZEILOEGBUNA SQUARE","EXISTING PU"
"ANAMBRA","AGUATA","EKWULOBIA  II","021","OBU AGBA HALL","NEW PU"
"ANAMBRA","AGUATA","EKWULOBIA  II","022","AGBA VILLAGE HALL II","NEW PU"
"ANAMBRA","AGUATA","EKWULOBIA  II","023","COMMUNITY PRIMARY SCHOOL   BLOCK B","NEW PU"
"ANAMBRA","AGUATA","EKWULOBIA  II","024","EZIAGULU PRIMARY SCHOOL UBE BLOCK","NEW PU"
"ANAMBRA","AGUATA","EKWULOBIA  II","025","UMUNKWOR HALL","NEW PU"
"ANAMBRA","AGUATA","EKWULOBIA  II","026","G.S.S EKWULOBIA II","NEW PU"
"ANAMBRA","AGUATA","EKWULOBIA  II","027","UMUDIDE HALL","NEW PU"
"ANAMBRA","AGUATA","EZINIFITE  I","001","TOWN HALL I","EXISTING PU"
"ANAMBRA","AGUATA","EZINIFITE  I","002","TOWN HALL II","EXISTING PU"
"ANAMBRA","AGUATA","EZINIFITE  I","003","AKPUNOJI COMMUNITY SCHOOL I","EXISTING PU"
"ANAMBRA","AGUATA","EZINIFITE  I","004","AKPUNOJI COMMUNITY SCHOOL II","EXISTING PU"
"ANAMBRA","AGUATA","EZINIFITE  I","005","IGWEBUIKE PRY. SCHOOL I","EXISTING PU"
"ANAMBRA","AGUATA","EZINIFITE  I","006","IGWEBUIKE PRY. SCHOOL II","EXISTING PU"
"ANAMBRA","AGUATA","EZINIFITE  I","007","OLD AKPUNOJI I","EXISTING PU"
"ANAMBRA","AGUATA","EZINIFITE  I","008","OLD AKPUNOJI II","EXISTING PU"
"ANAMBRA","AGUATA","EZINIFITE  I","009","UMUAGU KINDERGATIN I","EXISTING PU"
"ANAMBRA","AGUATA","EZINIFITE  I","010","UMUAGU KINDERGATIN II","EXISTING PU"
"ANAMBRA","AGUATA","EZINIFITE  I","011","EZIONYE VILLAGE I","NEW PU"
"ANAMBRA","AGUATA","EZINIFITE  I","012","EZIONYE VILLAGE II","NEW PU"
"ANAMBRA","AGUATA","EZINIFITE  II","001","OGBUGBAOGU PRY. SCHOOL I","EXISTING PU"
"ANAMBRA","AGUATA","EZINIFITE  II","002","OGBUGBAOGU PRY. SCHOOL II","EXISTING PU"
"ANAMBRA","AGUATA","EZINIFITE  II","003","B.S.S.","EXISTING PU"
"ANAMBRA","AGUATA","EZINIFITE  II","004","ANULI PRY. SCHOOL","EXISTING PU"
"ANAMBRA","AGUATA","EZINIFITE  II","005","CIVIC CENTRE","EXISTING PU"
"ANAMBRA","AGUATA","EZINIFITE  II","006","NWAHIA KINDER SCHOOL","EXISTING PU"
"ANAMBRA","AGUATA","EZINIFITE  II","007","EZIHU/AFOR","EXISTING PU"
"ANAMBRA","AGUATA","EZINIFITE  II","008","OZALLA CENTRE","EXISTING PU"
"ANAMBRA","AGUATA","EZINIFITE  II","009","UMUOBI KINDER SCHOOL","EXISTING PU"
"ANAMBRA","AGUATA","EZINIFITE  II","010","UMUEZENWA CENTRE","EXISTING PU"
"ANAMBRA","AGUATA","EZINIFITE  II","011","TOWN SCHOOL UHUALA","NEW PU"
"ANAMBRA","AGUATA","IGBO-UKWU  I","001","PRIMARY SCHOOL OBIUNO I","EXISTING PU"
"ANAMBRA","AGUATA","IGBO-UKWU  I","002","PRIMARY SCHOOL OBIUNO II","EXISTING PU"
"ANAMBRA","AGUATA","IGBO-UKWU  I","003","OBIUNO YOUTHS CENTRE I","EXISTING PU"
"ANAMBRA","AGUATA","IGBO-UKWU  I","004","OBIUNO YOUTHS CENTRE II","EXISTING PU"
"ANAMBRA","AGUATA","IGBO-UKWU  I","005","AMAKPU SQUARE","EXISTING PU"
"ANAMBRA","AGUATA","IGBO-UKWU  I","006","PRY. SCHOOL, NGO","EXISTING PU"
"ANAMBRA","AGUATA","IGBO-UKWU  I","007","G.S.S IGBO-UKWU I","EXISTING PU"
"ANAMBRA","AGUATA","IGBO-UKWU  I","008","MGBENDO HALL","EXISTING PU"
"ANAMBRA","AGUATA","IGBO-UKWU  I","009","IHUOFOR HALL","EXISTING PU"
"ANAMBRA","AGUATA","IGBO-UKWU  I","010","EZEKWEKA HALL","EXISTING PU"
"ANAMBRA","AGUATA","IGBO-UKWU  I","011","AMAUDO/AKUKWA SQUARE","EXISTING PU"
"ANAMBRA","AGUATA","IGBO-UKWU  I","012","IHUANUKA HALL","EXISTING PU"
"ANAMBRA","AGUATA","IGBO-UKWU  I","013","NGO SQUARE","EXISTING PU"
"ANAMBRA","AGUATA","IGBO-UKWU  I","014","EZEACHAOKE HALL","EXISTING PU"
"ANAMBRA","AGUATA","IGBO-UKWU  I","015","UMUAZUCHAOKE HALL","EXISTING PU"
"ANAMBRA","AGUATA","IGBO-UKWU  I","016","TOWN SCHOOL I","EXISTING PU"
"ANAMBRA","AGUATA","IGBO-UKWU  I","017","TOWN SCHOOL II","EXISTING PU"
"ANAMBRA","AGUATA","IGBO-UKWU  I","018","OBIGBO C.S","EXISTING PU"
"ANAMBRA","AGUATA","IGBO-UKWU  I","019","UMUNONO HALL","EXISTING PU"
"ANAMBRA","AGUATA","IGBO-UKWU  I","020","OGWUGWUAGU PRY. SCHOOL","EXISTING PU"
"ANAMBRA","AGUATA","IGBO-UKWU  I","021","TOWN HALL","EXISTING PU"
"ANAMBRA","AGUATA","IGBO-UKWU  I","022","G. S. S. IGBO UKWU II","EXISTING PU"
"ANAMBRA","AGUATA","IGBO-UKWU  I","023","IHUANUKA HALL II","NEW PU"
"ANAMBRA","AGUATA","IGBO - UKWU  II","001","IHITE PRY. SCHOOL I","EXISTING PU"
"ANAMBRA","AGUATA","IGBO - UKWU  II","002","IHITE PRY. SCHOOL II","EXISTING PU"
"ANAMBRA","AGUATA","IGBO - UKWU  II","003","UMUDEGE CIVIC CENTRE I","EXISTING PU"
"ANAMBRA","AGUATA","IGBO - UKWU  II","004","UMUDEGE CIVIC CENTRE II","EXISTING PU"
"ANAMBRA","AGUATA","IGBO - UKWU  II","005","ETITINABO HALL I","EXISTING PU"
"ANAMBRA","AGUATA","IGBO - UKWU  II","006","ETITINABO HALL II","EXISTING PU"
"ANAMBRA","AGUATA","IGBO - UKWU  II","007","UNION PRY. SCHOOL I","EXISTING PU"
"ANAMBRA","AGUATA","IGBO - UKWU  II","008","UNION PRY. SCHOOL II","EXISTING PU"
"ANAMBRA","AGUATA","IGBO - UKWU  II","009","ETITI HALL I","EXISTING PU"
"ANAMBRA","AGUATA","IGBO - UKWU  II","010","ETITI HALL II","EXISTING PU"
"ANAMBRA","AGUATA","IGBO - UKWU  II","011","IHUAKABA HALL I","EXISTING PU"
"ANAMBRA","AGUATA","IGBO - UKWU  II","012","IHUAKABA HALL II","EXISTING PU"
"ANAMBRA","AGUATA","IGBO - UKWU  II","013","UDOAKWARI HALL I","EXISTING PU"
"ANAMBRA","AGUATA","IGBO - UKWU  II","014","UDOAKWARI HALL II","EXISTING PU"
"ANAMBRA","AGUATA","IGBO - UKWU  II","015","UMUEZULU HALL I","EXISTING PU"
"ANAMBRA","AGUATA","IGBO - UKWU  II","016","UMUEZULU HALL II","EXISTING PU"
"ANAMBRA","AGUATA","IGBO - UKWU  II","017","CENTRAL SCHOOL I","EXISTING PU"
"ANAMBRA","AGUATA","IGBO - UKWU  II","018","CENTRAL SCHOOL II","EXISTING PU"
"ANAMBRA","AGUATA","IGBO - UKWU  II","019","PRY. SCHOOL, EZIHU I","EXISTING PU"
"ANAMBRA","AGUATA","IGBO - UKWU  II","020","PRY. SCHOOL, EZIHU II","EXISTING PU"
"ANAMBRA","AGUATA","IGBO - UKWU  II","021","ST. STEPHEN","EXISTING PU"
"ANAMBRA","AGUATA","IGBO - UKWU  II","022","UMUENEILI HALL","EXISTING PU"
"ANAMBRA","AGUATA","IGBO - UKWU  II","023","TIMBER MARKET HALL","NEW PU"
"ANAMBRA","AGUATA","IGBO - UKWU  II","024","CENTRAL SCHOOL III","NEW PU"
"ANAMBRA","AGUATA","IKENGA","001","COMMUNITY SCHOOL I","EXISTING PU"
"ANAMBRA","AGUATA","IKENGA","002","COMMUNITY SCHOOL II","EXISTING PU"
"ANAMBRA","AGUATA","IKENGA","003","EZI HALL I","EXISTING PU"
"ANAMBRA","AGUATA","IKENGA","004","EZI HALL II","EXISTING PU"
"ANAMBRA","AGUATA","IKENGA","005","ESISIAMA HALL I","EXISTING PU"
"ANAMBRA","AGUATA","IKENGA","006","ESISIAMA HALL II","EXISTING PU"
"ANAMBRA","AGUATA","IKENGA","007","IFITE HALL I","EXISTING PU"
"ANAMBRA","AGUATA","IKENGA","008","IFITE HALL II","EXISTING PU"
"ANAMBRA","AGUATA","ISUOFIA","001","AMORJI PRY. SCHOOL","EXISTING PU"
"ANAMBRA","AGUATA","ISUOFIA","002","OFIYI SQUARE","EXISTING PU"
"ANAMBRA","AGUATA","ISUOFIA","003","IHUOWELE HALL","EXISTING PU"
"ANAMBRA","AGUATA","ISUOFIA","004","EMEAGAM HALL","EXISTING PU"
"ANAMBRA","AGUATA","ISUOFIA","005","CENTRAL SCHOOL","EXISTING PU"
"ANAMBRA","AGUATA","ISUOFIA","006","OZALA SCHOOL (VILL HALL)","EXISTING PU"
"ANAMBRA","AGUATA","ISUOFIA","007","OZALLA SCHOOL","EXISTING PU"
"ANAMBRA","AGUATA","ISUOFIA","008","PRY. SCHOOL, ISUOFIA","EXISTING PU"
"ANAMBRA","AGUATA","ISUOFIA","009","ISIAKU","EXISTING PU"
"ANAMBRA","AGUATA","ISUOFIA","010","EZIOKA HALL","EXISTING PU"
"ANAMBRA","AGUATA","ISUOFIA","011","IKEME PRY. SCHOL","EXISTING PU"
"ANAMBRA","AGUATA","ISUOFIA","012","CATHECUMEN NURSERY SCHOOL","EXISTING PU"
"ANAMBRA","AGUATA","ISUOFIA","013","COMMUNITY SCHOOL","EXISTING PU"
"ANAMBRA","AGUATA","ISUOFIA","014","ISIAKU HALL","EXISTING PU"
"ANAMBRA","AGUATA","ISUOFIA","015","AKULU VILLAGE HALL","NEW PU"
"ANAMBRA","AGUATA","ISUOFIA","016","AKULU NDE KINDER","NEW PU"
"ANAMBRA","AGUATA","ISUOFIA","017","PRIMARY HEALTH CENTRE COMPOUND OZALLA","NEW PU"
"ANAMBRA","AGUATA","NKPOLOGWU","001","CENTRAL SCHOOL","EXISTING PU"
"ANAMBRA","AGUATA","NKPOLOGWU","002","COMMUNITY SCHOOL","EXISTING PU"
"ANAMBRA","AGUATA","NKPOLOGWU","003","OBINABO HALL","EXISTING PU"
"ANAMBRA","AGUATA","NKPOLOGWU","004","TOWN HALL","EXISTING PU"
"ANAMBRA","AGUATA","NKPOLOGWU","005","ELUAMA HALL","EXISTING PU"
"ANAMBRA","AGUATA","NKPOLOGWU","006","PRY. SCHOOL, NKPLOGWU","EXISTING PU"
"ANAMBRA","AGUATA","NKPOLOGWU","007","LOCAL AUTHORITY PRY. SCHOOL","EXISTING PU"
"ANAMBRA","AGUATA","NKPOLOGWU","008","UMUONYIA HALL","EXISTING PU"
"ANAMBRA","AGUATA","NKPOLOGWU","009","ISIOJI HALL","EXISTING PU"
"ANAMBRA","AGUATA","NKPOLOGWU","010","NGWUAGU SQUARE","EXISTING PU"
"ANAMBRA","AGUATA","NKPOLOGWU","011","OGWUGWUNEZI HALL","EXISTING PU"
"ANAMBRA","AGUATA","NKPOLOGWU","012","CENTRAL SCHOOL, NKPOLOGWU","EXISTING PU"
"ANAMBRA","AGUATA","NKPOLOGWU","013","COMMUNITY SCHOOL NKPOLOGWU","EXISTING PU"
"ANAMBRA","AGUATA","NKPOLOGWU","014","UDARA-EKE SQUARE","EXISTING PU"
"ANAMBRA","AGUATA","ORAERI","001","UMUDIKE HALL  I","EXISTING PU"
"ANAMBRA","AGUATA","ORAERI","002","UMUDIKE HALL  II","EXISTING PU"
"ANAMBRA","AGUATA","ORAERI","003","UMUDIKE HALL  III","EXISTING PU"
"ANAMBRA","AGUATA","ORAERI","004","UMUDIKE HALL   IV","EXISTING PU"
"ANAMBRA","AGUATA","ORAERI","005","CENTRAL SCHOOL I","EXISTING PU"
"ANAMBRA","AGUATA","ORAERI","006","CENTRAL SCHOOL  II","EXISTING PU"
"ANAMBRA","AGUATA","ORAERI","007","CENTRAL SCHOOL III","EXISTING PU"
"ANAMBRA","AGUATA","ORAERI","008","CENTRAL SCHOOL IV","EXISTING PU"
"ANAMBRA","AGUATA","ORAERI","009","CENTRAL SCHOOL  V","EXISTING PU"
"ANAMBRA","AGUATA","ORAERI","010","CENTRAL SCHOOL  VI","EXISTING PU"
"ANAMBRA","AGUATA","ORAERI","011","OBIUNO HALL  I","EXISTING PU"
"ANAMBRA","AGUATA","ORAERI","012","OBIUNO HALL  II","EXISTING PU"
"ANAMBRA","AGUATA","ORAERI","013","OBIUNO HALL  III","EXISTING PU"
"ANAMBRA","AGUATA","ORAERI","014","OBIUNO HALL   IV","EXISTING PU"
"ANAMBRA","AGUATA","ORAERI","015","OBIUNO HALL   V","EXISTING PU"
"ANAMBRA","AGUATA","ORAERI","016","OBI NRI  I","EXISTING PU"
"ANAMBRA","AGUATA","ORAERI","017","OBI NRI  II","EXISTING PU"
"ANAMBRA","AGUATA","ORAERI","018","OBI NRI  III","EXISTING PU"
"ANAMBRA","AGUATA","ORAERI","019","OBI NRI  IV","EXISTING PU"
"ANAMBRA","AGUATA","ORAERI","020","OBI NRI  V","EXISTING PU"
"ANAMBRA","AGUATA","ORAERI","021","OBI NRI  VI","EXISTING PU"
"ANAMBRA","AGUATA","ORAERI","022","UMUDIKE HALL  V","EXISTING PU"
"ANAMBRA","AGUATA","UGA  I","001","UMOMUNYE HALL I","EXISTING PU"
"ANAMBRA","AGUATA","UGA  I","002","UMOMUNYE HALL II","EXISTING PU"
"ANAMBRA","AGUATA","UGA  I","003","UMOMUNYE HALL  III","EXISTING PU"
"ANAMBRA","AGUATA","UGA  I","004","UMOMUNYE HALL  IV","EXISTING PU"
"ANAMBRA","AGUATA","UGA  I","005","UMOMUNYE HALL   V","EXISTING PU"
"ANAMBRA","AGUATA","UGA  I","006","NWAGWAZI PRY SCHOOL  I","EXISTING PU"
"ANAMBRA","AGUATA","UGA  I","007","NWAGWAZI PRY SCHOOL II","EXISTING PU"
"ANAMBRA","AGUATA","UGA  I","008","NWAGWAZI PRY SCHOOL  III","EXISTING PU"
"ANAMBRA","AGUATA","UGA  I","009","EZINKWO PRY SCHOOL  I","EXISTING PU"
"ANAMBRA","AGUATA","UGA  I","010","EZINKWO PRY SCHOOL  II","EXISTING PU"
"ANAMBRA","AGUATA","UGA  I","011","OKWU HALL I","EXISTING PU"
"ANAMBRA","AGUATA","UGA  I","012","OKWU HALL  II","EXISTING PU"
"ANAMBRA","AGUATA","UGA  I","013","OKWU HALL  III","EXISTING PU"
"ANAMBRA","AGUATA","UGA  I","014","OTIOGBATA HALL  I","EXISTING PU"
"ANAMBRA","AGUATA","UGA  I","015","OTIOGBATA HALL  II","EXISTING PU"
"ANAMBRA","AGUATA","UGA  I","016","OTIOGBATA HALL   III","EXISTING PU"
"ANAMBRA","AGUATA","UGA  I","017","OKWUTE HALL  I","EXISTING PU"
